product_id,productcategory_id,material_id,outer_diameter,inner_diameter,height,weight,heattreatmentcategory_id,workplace_id,duration_seconds
25.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50501.0,5100000000.0
25.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50501.0,12240000000.0
25.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50501.0,4080000000.0
25.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50501.0,9120000000.0
25.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50501.0,30600000000.0
25.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50501.0,960000000.0
25.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50513.0,4380000000.0
25.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,2280000000.0
25.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,1440000000.0
25.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,1680000000.0
25.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,2460000000.0
25.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,1260000000.0
26.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50501.0,13920000000.0
26.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50501.0,180000000.0
26.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50513.0,1380000000.0
26.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50513.0,3000000000.0
26.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,1320000000.0
26.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,3420000000.0
26.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,900000000.0
26.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,1140000000.0
26.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,780000000.0
27.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50501.0,2520000000.0
27.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50501.0,30600000000.0
27.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50501.0,11760000000.0
27.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,3600000000.0
27.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,0.0
27.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,1080000000.0
27.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,840000000.0
27.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,1380000000.0
27.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,1320000000.0
27.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,5400000000.0
27.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,3180000000.0
28.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50501.0,16800000000.0
28.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50513.0,3360000000.0
28.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,50513.0,8820000000.0
28.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,2640000000.0
28.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,2280000000.0
28.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,3120000000.0
28.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,960000000.0
28.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,720000000.0
28.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,1620000000.0
28.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,1380000000.0
28.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,1620000000.0
28.0,S6,1.4021,399.0,300.0,30.0,1980186835664.0,1.0,,2400000000.0
62.0,S1,1.4462,420.0,327.0,40.0,5303691365932.0,4.0,50513.0,360000000.0
62.0,S1,1.4462,420.0,327.0,40.0,5303691365932.0,4.0,,0.0
62.0,S1,1.4462,420.0,327.0,40.0,5303691365932.0,4.0,,660000000.0
63.0,S1,1.4462,420.0,327.0,40.0,5303691365932.0,4.0,50501.0,2940000000.0
63.0,S1,1.4462,420.0,327.0,40.0,5303691365932.0,4.0,50501.0,4080000000.0
63.0,S1,1.4462,420.0,327.0,40.0,5303691365932.0,4.0,50513.0,360000000.0
63.0,S1,1.4462,420.0,327.0,40.0,5303691365932.0,4.0,,1320000000.0
82.0,S5,1.4501,90.0,11.0,40.0,87096508385986.0,4.0,50501.0,3780000000.0
82.0,S5,1.4501,90.0,11.0,40.0,87096508385986.0,4.0,50511.0,300000000.0
82.0,S5,1.4501,90.0,11.0,40.0,87096508385986.0,4.0,50511.0,180000000.0
82.0,S5,1.4501,90.0,11.0,40.0,87096508385986.0,4.0,50511.0,240000000.0
82.0,S5,1.4501,90.0,11.0,40.0,87096508385986.0,4.0,,480000000.0
82.0,S5,1.4501,90.0,11.0,40.0,87096508385986.0,4.0,50511.0,180000000.0
82.0,S5,1.4501,90.0,11.0,40.0,87096508385986.0,4.0,50511.0,0.0
82.0,S5,1.4501,90.0,11.0,40.0,87096508385986.0,4.0,50511.0,240000000.0
82.0,S5,1.4501,90.0,11.0,40.0,87096508385986.0,4.0,50511.0,420000000.0
