productcategory_id,material_id,outer_diameter,height,weight,heattreatmentcategory_id,heattreatment_temperatures,forming_temperatures,dimension,input_weight,workplace_id,product_id,mes_datetime,value
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:25:00,58.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:26:00,58.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:27:00,58.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:28:00,58.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:29:00,58.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:30:00,58.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:31:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:32:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:33:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:34:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:35:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:36:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:37:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:38:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:39:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:40:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:41:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:42:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:43:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:44:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:45:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:46:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:47:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:48:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:49:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:50:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:51:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:52:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:53:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:54:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:55:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:56:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:57:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:58:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 13:59:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 14:00:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 14:01:00,95.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 14:02:00,95.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,25.0,2012-04-16 14:03:00,95.0
